,metro,latitude,longitude,line,angle
47,SANTA ROSA,0.29258286123308397,0.5810183659829438,4A,89.79059147439158
48,PLAZA EGANA,0.6820459326634959,0.8690705927759969,4,6.563369560306659
49,DEPARTAMENTAL,0.4669689854136334,0.48445810466069655,2,17.431614388773014
50,BLANQUEADO,0.758429935666338,0.23649850794045252,5,79.64404629607272
51,ELISA CORREA,0.17520229750610192,0.8187782997109733,4,-11.224677989108763
52,LOS LEONES,0.8182678794333044,0.7020761750557711,1,58.98870376953449
53,LOS DOMINICOS,0.8801229061007689,1.0,1,83.10355190728157
54,FRANCISCO BILBAO,0.7771672238758839,0.8139302826911387,4,-55.71058220311622
55,PROTECTORA DE LA INFANCIA,0.08842605120505771,0.8371678166978501,4,-13.050232297824945
56,PEDRO DE VALDIVIA,0.805187283408546,0.6746877029812526,1,61.69790776987639
57,UNION LATINO AMERICANA,0.6986792831641375,0.39708554161294474,1,70.14374226345818
58,DEL SOL,0.5218097225010826,0.022211448851106125,5,42.04779882980843
59,SAN PABLO L1,0.7215539590953086,0.16121774656641455,1,-49.196155100266296
60,SAN PABLO L5,0.7465539590953086,0.16121774656641455,5,81.61887915496496
61,PATRONATO,0.8352591241194645,0.5201169172260027,2,38.61355531670108
62,EINSTEIN,0.9395678209481424,0.5386099840909793,2,3.1625898374870607
63,LAGUNA SUR,0.6415209629972172,0.0917875533046729,5,2.7874648129939756
64,LOS QUILLAYES,0.21351443361060882,0.8108802681000281,4,-11.215858711964557
65,SAN RAMON,0.2981441877111322,0.5381736625592122,4A,-81.36538529779378
66,CRISTOBAL COLON,0.8001248265086186,0.7841267450508245,4,-56.809117588378044
67,TRINIDAD,0.2729030455922095,0.7997486562049836,4,-20.94191488872131
68,UNIVERSIDAD CATOLICA,0.7377360137570921,0.5502635815079147,1,68.26536277222043
69,SIMON BOLIVAR,0.7121670929389988,0.8627422831806802,4,-2.0528535404098474
70,BELLAVISTA DE LA FLORIDA,0.39161043654362165,0.7432763181428498,5,-49.43827
71,SANTA ISABEL,0.7090014752223674,0.5985418294439265,5,-15.377299044562365
72,QUINTA NORMAL,0.7637677965065861,0.3634130039819802,5,-88.25085717617635
73,MANUEL MONTT,0.7908850461334479,0.6512251833303659,1,62.868799399903395
74,CAMINO AGRICOLA,0.5141302734835209,0.6591236856225472,5,-7.309119657636881
